CustomerID,FirstName,LastName,Gender,Age,Email,Phone,BirthDate,DNI
40,Stephanie,Mitchell,Female,27,stephanie.mitchell@example.com,012-345-6792,1998-02-28,DNI040
41,Eric,Perez,Male,45,eric.perez@example.com,123-456-7894,1980-07-15,DNI041
42,Angela,Roberts,Female,33,angela.roberts@example.com,234-567-8905,1992-11-09,DNI042
43,Ryan,Turner,Male,37,ryan.turner@example.com,345-678-9016,1988-01-03,DNI043
44,Kimberly,Phillips,Female,49,kimberly.phillips@example.com,456-789-0127,1976-05-20,DNI044
45,Jacob,Campbell,Male,31,jacob.campbell@example.com,567-890-1238,1994-09-12,DNI045
46,Deborah,Parker,Female,53,deborah.parker@example.com,678-901-2349,1972-03-17,DNI046
47,Jonathan,Evans,Male,40,jonathan.evans@example.com,789-012-3460,1984-12-25,DNI047
48,Amy,Edwards,Female,26,amy.edwards@example.com,890-123-4571,1999-06-30,DNI048
49,Justin,Collins,Male,44,justin.collins@example.com,901-234-5672,1981-08-08,DNI049
50,Anna,Stewart,Female,35,anna.stewart@example.com,012-345-6793,1990-03-21,DNI050
51,Frank,Reed,Male,50,frank.reed@example.com,123-456-7895,1973-05-14,DNI051
52,Grace,Morris,Female,29,grace.morris@example.com,234-567-8906,1994-09-23,DNI052
53,Henry,Bell,Male,42,henry.bell@example.com,345-678-9017,1981-02-11,DNI053
54,Victoria,Cook,Female,36,victoria.cook@example.com,456-789-0128,1987-07-19,DNI054
55,Patrick,Bailey,Male,47,patrick.bailey@example.com,567-890-1239,1976-11-03,DNI055
56,Emma,Rivera,Female,31,emma.rivera@example.com,678-901-2350,1992-01-27,DNI056
57,Scott,Cooper,Male,39,scott.cooper@example.com,789-012-3461,1984-06-15,DNI057
58,Olivia,Richardson,Female,28,olivia.richardson@example.com,890-123-4572,1995-03-09,DNI058
59,Brandon,Cox,Male,34,brandon.cox@example.com,901-234-5673,1989-12-22,DNI059
60,Chloe,Howard,Female,41,chloe.howard@example.com,012-345-6794,1982-08-30,DNI060
61,George,Ward,Male,38,george.ward@example.com,123-456-7896,1985-04-18,DNI061
62,Isabella,Brooks,Female,27,isabella.brooks@example.com,234-567-8907,1996-10-05,DNI062
63,Paul,Gray,Male,45,paul.gray@example.com,345-678-9018,1978-02-20,DNI063
64,Sophia,James,Female,33,sophia.james@example.com,456-789-0129,1990-06-12,DNI064
65,Mark,Bennett,Male,37,mark.bennett@example.com,567-890-1240,1986-09-25,DNI065
66,Abigail,Wood,Female,49,abigail.wood@example.com,678-901-2351,1974-11-17,DNI066
67,Peter,Barnes,Male,31,peter.barnes@example.com,789-012-3462,1992-03-14,DNI067
68,Charlotte,Ross,Female,53,charlotte.ross@example.com,890-123-4573,1970-07-08,DNI068
69,Sean,Henderson,Male,40,sean.henderson@example.com,901-234-5674,1983-01-19,DNI069
70,Amelia,Cole,Female,26,amelia.cole@example.com,012-345-6795,1997-05-03,DNI070
71,Raymond,Jenkins,Male,44,raymond.jenkins@example.com,123-456-7897,1979-09-27,DNI071
72,Evelyn,Perry,Female,35,evelyn.perry@example.com,234-567-8908,1988-12-14,DNI072
73,Adam,Long,Male,50,adam.long@example.com,345-678-9019,1973-04-01,DNI073
74,Zoey,Patterson,Female,29,zoey.patterson@example.com,456-789-0130,1994-08-20,DNI074
75,Victor,Hughes,Male,42,victor.hughes@example.com,567-890-1241,1981-11-06,DNI075
76,Ellie,Flores,Female,36,ellie.flores@example.com,678-901-2352,1987-02-28,DNI076
77,Phillip,Washington,Male,47,phillip.washington@example.com,789-012-3463,1976-06-10,DNI077
78,Lucy,Butler,Female,31,lucy.butler@example.com,890-123-4574,1992-09-15,DNI078
79,Harold,Simmons,Male,39,harold.simmons@example.com,901-234-5675,1984-03-07,DNI079
80,Stella,Foster,Female,28,stella.foster@example.com,012-345-6796,1995-07-23,DNI080
81,Arthur,Gonzalez,Male,34,arthur.gonzalez@example.com,123-456-7898,1989-11-11,DNI081
82,Victoria,Bryant,Female,41,victoria.bryant@example.com,234-567-8909,1982-05-25,DNI082
83,Lawrence,Alexander,Male,38,lawrence.alexander@example.com,345-678-9020,1985-10-18,DNI083
84,Penelope,Russell,Female,27,penelope.russell@example.com,456-789-0131,1996-01-30,DNI084
85,Gerald,Griffin,Male,45,gerald.griffin@example.com,567-890-1242,1978-06-22,DNI085
86,Naomi,Diaz,Female,33,naomi.diaz@example.com,678-901-2353,1990-12-09,DNI086
87,Albert,Hayes,Male,37,albert.hayes@example.com,789-012-3464,1986-04-04,DNI087
88,Clara,Myers,Female,49,clara.myers@example.com,890-123-4575,1974-08-16,DNI088
89,Wayne,Ford,Male,31,wayne.ford@example.com,901-234-5676,1992-11-02,DNI089
90,Julia,Hamilton,Female,53,julia.hamilton@example.com,012-345-6797,1970-03-12,DNI090
91,Leonard,Graham,Male,40,leonard.graham@example.com,123-456-7899,1983-07-29,DNI091
92,Audrey,Sullivan,Female,26,audrey.sullivan@example.com,234-567-8910,1997-02-18,DNI092
93,Samuel,Wallace,Male,44,samuel.wallace@example.com,345-678-9021,1979-05-09,DNI093
94,Caroline,Woods,Female,35,caroline.woods@example.com,456-789-0132,1988-09-01,DNI094
95,Henry,Coleman,Male,50,henry.coleman@example.com,567-890-1243,1973-12-25,DNI095
96,Isla,Jenkins,Female,29,isla.jenkins@example.com,678-901-2354,1994-06-06,DNI096
97,Martin,Reed,Male,42,martin.reed@example.com,789-012-3465,1981-01-14,DNI097
98,Scarlett,Stewart,Female,36,scarlett.stewart@example.com,890-123-4576,1987-11-19,DNI098
99,Allen,Morris,Male,47,allen.morris@example.com,901-234-5677,1976-03-03,DNI099
100,Emily,Price,Female,31,emily.price@example.com,012-345-6798,1992-08-27,DNI100
